Cluster,CF
SOL-01,0.294934132
SOL-01,0.295151911
SOL-01,0.295425942
SOL-01,0.295585731
SOL-01,0.295574717
SOL-01,0.294994819
SOL-01,0.293450586
SOL-01,0.293605447
SOL-01,0.294166927
SOL-01,0.294783782
SOL-01,0.294944822
SOL-01,0.295446047
SOL-01,0.295662579
SOL-01,0.295594938
SOL-01,0.294958287
SOL-01,0.293927043
SOL-01,0.293634275
SOL-01,0.293797128
SOL-01,0.29407334
SOL-01,0.294348669
SOL-01,0.294566761
SOL-01,0.295295901
SOL-01,0.295512544
SOL-01,0.295217552
SOL-01,0.294693836
SOL-01,0.294118152
SOL-01,0.294110612
SOL-01,0.294045489
SOL-01,0.293979558
SOL-01,0.29397001
SOL-01,0.294245229
SOL-01,0.294519861
SOL-01,0.294566171
SOL-01,0.294269966
SOL-01,0.293744309
SOL-01,0.29476347
SOL-01,0.29464265
SOL-01,0.294464179
SOL-01,0.294341576
SOL-01,0.294218305
SOL-01,0.294208581
SOL-01,0.294198306
SOL-01,0.294130534
SOL-01,0.294005088
SOL-01,0.293879015
SOL-01,0.296029193
SOL-01,0.295675563
SOL-01,0.295497246
SOL-01,0.295205015
SOL-01,0.294968506
SOL-01,0.294275592
SOL-01,0.293979663
SOL-01,0.294025523
SOL-01,0.29389956
SOL-01,0.297344261
SOL-01,0.297225567
SOL-01,0.297162279
SOL-01,0.296873048
SOL-01,0.296469905
SOL-01,0.296065284
SOL-01,0.294399147
SOL-01,0.294502088
SOL-01,0.294205314
SOL-01,0.297138818
SOL-01,0.297019926
SOL-01,0.297012898
SOL-01,0.297061632
SOL-01,0.296884366
SOL-01,0.296141651
SOL-01,0.296132253
SOL-01,0.296178792
SOL-01,0.296539276
SOL-01,0.296363545
SOL-01,0.29652529
SOL-01,0.296912095
SOL-01,0.297298007
SOL-01,0.297120518
SOL-01,0.297674086
SOL-01,0.297945505
SOL-01,0.2979356
SOL-01,0.29775646
SOL-01,0.295633214
SOL-01,0.296190108
SOL-01,0.296576448
SOL-01,0.297074561
SOL-01,0.297627694
SOL-01,0.298067114
SOL-01,0.298281412
SOL-01,0.294686512
SOL-01,0.295074322
SOL-01,0.29585693
SOL-01,0.297199997
SOL-01,0.298312422
SOL-01,0.299420076
SOL-01,0.300078084
SOL-01,0.297186963
SOL-01,0.294763501
SOL-01,0.295321005
SOL-01,0.296328432
SOL-01,0.297612896
SOL-01,0.298443927
SOL-01,0.29949531
SOL-01,0.300041801
SOL-01,0.297670011
SOL-01,0.294613338
SOL-01,0.295397691
SOL-01,0.296630161
SOL-01,0.297744797
SOL-01,0.298239563
SOL-01,0.299068258
SOL-01,0.299559975
SOL-01,0.297814333
SOL-01,0.297183484
SOL-01,0.296493954
SOL-01,0.293724006
SOL-01,0.294737691
SOL-01,0.296368161
SOL-01,0.297764472
SOL-01,0.298482869
SOL-01,0.298920011
SOL-01,0.299021308
SOL-01,0.297946218
SOL-01,0.296470655
SOL-01,0.295325602
SOL-01,0.294142521
SOL-01,0.294927921
SOL-01,0.29610599
SOL-01,0.298008133
SOL-01,0.298502284
SOL-01,0.298827591
SOL-01,0.297797563
SOL-01,0.297167057
SOL-01,0.295912397
SOL-01,0.294446883
SOL-01,0.295061372
SOL-01,0.295843489
SOL-01,0.297691327
SOL-01,0.298297941
SOL-01,0.297996912
SOL-01,0.297311544
SOL-01,0.297411829
SOL-01,0.296723332
SOL-01,0.294693805
SOL-01,0.295307721
SOL-01,0.2959763
SOL-01,0.297374198
SOL-01,0.298205358
SOL-01,0.297802933
SOL-01,0.296780084
SOL-01,0.296486514
SOL-01,0.297150385
SOL-01,0.297419071
SOL-01,0.296625176
SOL-01,0.297627443
SOL-01,0.299072091
SOL-01,0.297934493
SOL-01,0.296066571
SOL-01,0.295772087
SOL-01,0.296719616
SOL-01,0.297494994
SOL-01,0.297775435
SOL-01,0.298606044
SOL-01,0.299600705
SOL-01,0.299703525
SOL-01,0.299026089
SOL-01,0.296819607
SOL-01,0.296469827
SOL-01,0.296626767
SOL-01,0.296895782
SOL-01,0.298409596
SOL-01,0.29918248
SOL-01,0.299897425
SOL-01,0.299110145
SOL-01,0.298263312
SOL-01,0.297412521
SOL-01,0.296670317
SOL-01,0.296489592
SOL-01,0.296590124
SOL-01,0.296633822
SOL-01,0.296859339
SOL-01,0.295714773
SOL-01,0.295702417
SOL-01,0.295973658
SOL-01,0.296357368
SOL-01,0.296286416
SOL-01,0.295930535
SOL-01,0.296709438
SOL-01,0.298163231
SOL-01,0.298766527
SOL-01,0.296709992
SOL-01,0.295451217
SOL-01,0.295268196
SOL-01,0.295596569
SOL-01,0.296207857
SOL-01,0.296590724
SOL-01,0.295951653
SOL-01,0.296673689
SOL-01,0.298240109
SOL-01,0.298843231
SOL-01,0.295994125
SOL-01,0.294902744
SOL-01,0.294662067
SOL-01,0.294820034
SOL-01,0.29531919
